espn_id,player_name,euro_id
NA,Asaf Cohen,42537
NA,Ash Mansell,38962
NA,Ashley Chesters,38402
11176,Ashley Hall,35230
NA,Ashok Kumar,35959
4357759,Ashton Turner,40793
NA,Ashun Wu,36077
NA,Astrid Vayson De Pradenne,43289
NA,Atthaphon Sriboonkaew,37882
NA,Aubrey Beckley,42368
NA,August Thor Host,43578
10940,Augusto Nunez,NA
NA,Aurian Capart,41180
9379,Austen Truslow,43205
4693966,Austin Bautista,42056
10017,Austin Connelly,40328
9517,Austin Cook,NA
4425898,Austin Eckroat,NA
11216,Austin James,NA
10578,Austin Jordan,NA
10370,Austin Quick,NA
11056,Austin Smotherman,NA
4612293,Austin Squires,NA
NA,Axel Boasson,40235
NA,Axel Östensson,39927
NA,Aydan Verdonk,43090
NA,Ayoub Id Omar,43870
NA,Ayoub Lguirati,39866
NA,Ayoub Ssouadi,42539
NA,Azzan Al Rumhy,39739
1595,B.J. Staten,NA
NA,Baejong Park,43147
NA,Bailey Gill,43729
NA,Baptiste Chapellan,34299
NA,Baptiste Courtachon,41183
NA,Bard Skogen,42080
9566,Barrett Kelpin,NA
4346503,Barrett Waters,NA
NA,Barry Lane,506
NA,Basil Wright,43156
NA,Baurzhan Sarkytbayev,41534
6011,Beau Hossler,NA
NA,Bekir Kara,37436
NA,Ben Amor,41449
NA,Ben Campbell,38907
NA,Ben Clementson,41549
4422368,Ben Cook,NA
4348353,Ben Crancer,NA
693,Ben Crane,NA
523,Ben Curtis,NA
NA,Ben David,43582
4413591,Ben DeArmond,NA
NA,Ben Eccles,40998
NA,Ben Evans,34067
9794,Ben Geyer,43935
4404992,Ben Griffin,NA
NA,Ben Hutchinson,42991
4372513,Ben Kern,NA
6922,Ben Kohles,NA
4684380,Ben Lanting,NA
4263,Ben Leong,33200
4638,Ben Martin,NA
NA,Ben Parker,35569
NA,Ben Robinson,40268
NA,Ben Schmidt,43885
NA,Ben Storey,39490
NA,Ben Stow,38254
NA,Ben Talbot,43837
10134,Ben Taylor,NA
NA,Ben Wharton,35866
