tour,season,tournament_id,tournament_name,course,location,tournament_link
ct,2017,2017760,Irish Challenge hosted by Mount Wolseley Hotel Spa and Golf Resort,Mount Wolseley Hotel Spa and Golf Resort," Carlow, Ireland",/challenge-tour/irish-challenge-hosted-by-mount-wolseley-hotel-spa-and-golf-resort-2017/
ct,2017,2017764,Kazakhstan Open,Nurtau GC," Almaty, Kazakhstan",/challenge-tour/kazakhstan-open-2017/
ct,2017,2017762,Challenge de España,Izki Golf," Urturi, Alava Province, Spain",/challenge-tour/challenge-de-espana-2017/
ct,2017,2017768,Hainan Open,Sanya Luhuitou GC," Donghai Bay, Sanya, Hainan Island, China",/challenge-tour/hainan-open-2017/
ct,2017,2017770,The Foshan Open,Foshan GC," Guangdong, China",/challenge-tour/the-foshan-open-2017/
ct,2017,2017772,"Ras Al Khaimah, 2017 Golf Challenge",Al Hamra GC," Ras Al Khaimah, UAE",/challenge-tour/ras-al-khaimah-2017-golf-challenge-2017/
ct,2017,2017774,NBO Golf Classic Grand Final,Al Mouj Golf," Muscat, Oman",/challenge-tour/nbo-golf-classic-grand-final-2017/
ct,2016,2016710,Barclays Kenya Open,Karen Country Club," Nairobi, Kenya",/challenge-tour/barclays-kenya-open-2016/
ct,2016,2016720,Red Sea Egyptian Challenge presented by Hassan Allam Properties,Sokhna GC," Ain Sokhna, Suez, Egypt",/challenge-tour/red-sea-egyptian-challenge-presented-by-hassan-allam-properties-2016/
ct,2016,2016722,Challenge de Madrid,Real Club de Golf La Herrería," Madrid, Spain",/challenge-tour/challenge-de-madrid-2016/
ct,2016,2016724,Turkish Airlines Challenge,Gloria GC," Belek, Antalya, Turkey",/challenge-tour/turkish-airlines-challenge-2016/
ct,2016,2016726,Montecchia Open by Lyoness,Golf della Montecchia," Padova, Italy",/challenge-tour/montecchia-open-by-lyoness-2016/
ct,2016,2016730,D+D REAL Czech Challenge,Golf & Spa Kunětická Hora," Dříteč, Czech Republic",/challenge-tour/d-d-real-czech-challenge-2016/
ct,2016,2016732,Swiss Challenge presented by Association Suisse de Golf,Golf Sempach," Lucerne, Switzerland",/challenge-tour/swiss-challenge-presented-by-association-suisse-de-golf-2016/
ct,2016,2016734,KPMG Trophy,Cleydael G&CC," Aartselaar, Belgium",/challenge-tour/kpmg-trophy-2016/
ct,2016,2016736,Najeti Open,Aa Saint-Omer GC," Lumbres, France",/challenge-tour/najeti-open-2016/
ct,2016,2016738,SSE Scottish Hydro Challenge hosted by Macdonald Hotels and Resorts,Macdonald Spey Valley GC," Aviemore, Scotland",/challenge-tour/sse-scottish-hydro-challenge-hosted-by-macdonald-hotels-and-resorts-2016/
ct,2016,2016740,Made in Denmark Challenge – presented by Ejner Hessel,Aalborg GK," Aalborg, Denmark",/challenge-tour/made-in-denmark-challenge-presented-by-ejner-hessel-2016/
ct,2016,2016742,D+D REAL Slovakia Challenge,Penati Golf Resort," Senica, Slovakia",/challenge-tour/d-d-real-slovakia-challenge-2016/
ct,2016,2016744,Fred Olsen Challenge de España,Tecina Golf," La Gomera, Canary Islands, Spain",/challenge-tour/fred-olsen-challenge-de-espana-2016/
ct,2016,2016746,Le Vaudreuil Golf Challenge,Golf PGA France du Vaudreuil," Le Vaudreuil, France",/challenge-tour/le-vaudreuil-golf-challenge-2016/
ct,2016,2016748,Tayto Northern Ireland Open in Partnership with Ulster Bank,Galgorm Castle," Galgorm, Ballymena, Northern Ireland",/challenge-tour/tayto-northern-ireland-open-in-partnership-with-ulster-bank-2016/
ct,2016,2016750,Swedish Challenge hosted by Robert Karlsson,Katrineholms GK," Katrineholm, Sweden",/challenge-tour/swedish-challenge-hosted-by-robert-karlsson-2016/
ct,2016,2016752,Vierumäki Finnish Challenge,Vierumäki Resort," Vierumäki, Finland",/challenge-tour/vierumaki-finnish-challenge-2016/
ct,2016,2016754,Rolex Trophy,Golf Club de Genève," Genève, Switzerland",/challenge-tour/rolex-trophy-2016/
ct,2016,2016756,Bridgestone Challenge,Heythrop Park Resort," Enstone, Oxfordshire, England",/challenge-tour/bridgestone-challenge-2016/
ct,2016,2016758,Cordon Golf Open,Golf Bluegreen de Pléneuf Val André," Pléneuf, France",/challenge-tour/cordon-golf-open-2016/
ct,2016,2016760,Volopa Irish Challenge hosted by Mount Wolseley Hotel Spa and Golf Resort,Mount Wolseley Hotel Spa and Golf Resort," Carlow, Ireland",/challenge-tour/volopa-irish-challenge-hosted-by-mount-wolseley-hotel-spa-and-golf-resort-2016/
ct,2016,2016766,Kazakhstan Open,Zhailjau Golf Resort," Almaty, Kazakhstan",/challenge-tour/kazakhstan-open-2016/
ct,2016,2016768,Terre dei Consoli Open,Terre Dei Consoli Golf Club," Monterosi, Italy",/challenge-tour/terre-dei-consoli-open-2016/
ct,2016,2016770,Hainan Open,Sanya Luhuitou GC," Donghai Bay, Sanya, Hainan Island, China",/challenge-tour/hainan-open-2016/
ct,2016,2016772,Foshan Open,Foshan GC," Guangdong, China",/challenge-tour/foshan-open-2016/
ct,2016,2016774,"Ras Al Khaimah, 2016 Golf Challenge",Al Hamra GC," Ras Al Khaimah, UAE",/challenge-tour/ras-al-khaimah-2016-golf-challenge-2016/
ct,2016,2016776,NBO Golf Classic Grand Final,Al Mouj Golf," Muscat, Oman",/challenge-tour/nbo-golf-classic-grand-final-2016/
