player_name,avg_dk_pts_gained,min_dk_pts_gained,max_dk_pts_gained,win_dk,top5_dk,top10_dk,top20_dk,tournament_id,sim_type
Kevin Tway,1.0538181120158618,-21.898319415596468,44.15560193242193,0.31,2.48,5.74,12.83,401056526,non_adjusted
Chase Wright,0.6306192049013848,-23.084579859083657,43.44797274104714,0.43,2.6,5.75,12.690000000000001,401056526,non_adjusted
Martin Trainer,0.6649374185771657,-23.4688594731139,38.276587937158524,0.38,2.35,5.41,12.65,401056526,non_adjusted
Austin Cook,0.9326943862549598,-22.831268893640793,42.583143455941126,0.33999999999999997,2.27,5.41,12.559999999999999,401056526,non_adjusted
Jhonattan Vegas,0.7783005623931462,-22.10034321284485,42.41560689515424,0.36,2.3,5.34,12.22,401056526,non_adjusted
Ryan Blaum,0.39852890916244127,-24.15742086810601,40.48903096773958,0.32,2.1999999999999997,5.28,12.18,401056526,non_adjusted
Peter Uihlein,0.5681266405908736,-22.914318143101,46.32069051147238,0.38999999999999996,2.36,5.4,12.02,401056526,non_adjusted
Stephan Jaeger,0.5903734820300945,-22.818895321515264,44.08345438941636,0.38999999999999996,2.4299999999999997,5.390000000000001,11.99,401056526,non_adjusted
Brandon Harkins,0.297484998010504,-26.489109148639884,39.86600595717473,0.33999999999999997,2.36,5.390000000000001,11.67,401056526,non_adjusted
Kristoffer Ventura,0.043247992224862655,-24.92464374151651,43.45376701452767,0.44,2.26,4.95,11.66,401056526,non_adjusted
George McNeill,-0.150919232574588,-23.437063380027162,45.394165744187234,0.37,2.27,5.18,11.34,401056526,non_adjusted
Scott Langley,0.5187049277789837,-24.501311844423803,40.62095393756324,0.31,2.13,4.9,11.28,401056526,non_adjusted
Jose de Jesus Rodriguez,-0.0575277085513842,-24.581944504948662,47.41235426902219,0.5700000000000001,2.39,5.18,10.85,401056526,non_adjusted
Charley Hoffman,0.204095901335921,-22.298134267494767,40.16096756897627,0.35000000000000003,2.09,4.49,10.75,401056526,non_adjusted
Russell Henley,0.18492257252808017,-21.505895879016414,42.96668110880217,0.35000000000000003,2.22,4.760000000000001,10.52,401056526,non_adjusted
Benjamin Silverman,0.02531046934246744,-22.224479514954982,37.93977270333106,0.21,1.73,4.2700000000000005,10.39,401056526,non_adjusted
Scott Stallings,-0.1327803029360183,-25.53419450218332,45.39405388623806,0.33,2.1,4.390000000000001,10.2,401056526,non_adjusted
Brady Schnell,-0.3226284792940717,-26.14766590609938,43.96645205720003,0.37,1.9800000000000002,4.569999999999999,9.85,401056526,non_adjusted
Nick Taylor,-0.032261272551222756,-23.317504479705896,34.654133298031496,0.24,1.71,3.73,9.77,401056526,non_adjusted
Jonas Blixt,-0.52526796464443,-23.113603136252564,35.11020448168559,0.29,1.71,4.08,9.58,401056526,non_adjusted
Julian Etulain,-0.3498446703099309,-23.591713323279283,38.100840383815026,0.19,1.8399999999999999,4.02,9.58,401056526,non_adjusted
Kyle Stanley,-0.4145957034608613,-24.012195462501023,49.41456699655224,0.26,1.58,3.62,9.34,401056526,non_adjusted
Sung Kang,-0.6816499900054813,-25.50113241010327,37.86799397003692,0.26,1.68,4.02,9.32,401056526,non_adjusted
Ernie Els,-0.43693809722471616,-22.27439946864831,51.78663866856121,0.22999999999999998,1.44,3.82,9.16,401056526,non_adjusted
Tyler Duncan,-0.8717923418612189,-22.51438965803177,38.61035196528552,0.27,1.73,3.94,9.120000000000001,401056526,non_adjusted
Kevin Streelman,-0.5006339554638494,-24.694354670240557,41.014224990106804,0.13999999999999999,1.52,3.4799999999999995,9.09,401056526,non_adjusted
Scott Brown,-0.7691778327592558,-22.43727366017018,39.792287057441364,0.22999999999999998,1.5599999999999998,3.9899999999999998,8.91,401056526,non_adjusted
Roberto Diaz,-0.6758690128771986,-26.47428705579524,37.99690469779645,0.24,1.48,3.47,8.780000000000001,401056526,non_adjusted
J.J. Spaun,-0.5536959695930007,-22.33435854647935,39.322885609301835,0.13,1.48,3.3300000000000005,8.74,401056526,non_adjusted
Jimmy Walker,-0.6432873127799443,-21.719312810055346,34.83848357259492,0.29,1.6400000000000001,3.54,8.540000000000001,401056526,non_adjusted
Sam Saunders,-0.5966147732053396,-24.354206329042505,47.209738480029834,0.27,1.4200000000000002,3.26,8.5,401056526,non_adjusted
Ryan Armour,-0.6774280347041269,-22.0391040119903,34.21366571191249,0.15,1.22,3.15,8.44,401056526,non_adjusted
Kelly Kraft,-1.090156372877068,-26.505364075324568,36.77400029327444,0.16999999999999998,1.4200000000000002,3.19,8.290000000000001,401056526,non_adjusted
Harris English,-1.1567677446197324,-26.3666496483045,44.39087184038056,0.26,1.58,3.71,8.28,401056526,non_adjusted
Martin Kaymer,-0.6385426728075877,-23.2611466086686,35.92003027239453,0.16,1.3299999999999998,3.1399999999999997,7.99,401056526,non_adjusted
Ted Potter Jr.,-0.8878018996774708,-23.211026340673122,35.83095523511655,0.16,1.4000000000000001,3.39,7.9399999999999995,401056526,non_adjusted
Chris Stroud,-1.2056539973007125,-25.241128064577037,42.515354683101364,0.18,1.4500000000000002,3.2199999999999998,7.870000000000001,401056526,non_adjusted
Robert Streb,-1.3897934139131864,-23.791993989729423,36.889248912647695,0.1,1.06,2.85,7.140000000000001,401056526,non_adjusted
Brian Stuard,-1.4532659134323436,-23.667058699777105,42.18453108570465,0.15,1.0699999999999998,2.69,7.090000000000001,401056526,non_adjusted
Tom Hoge,-1.6226517952770487,-25.446486989360896,39.481451424707345,0.19,1.0999999999999999,2.73,7.07,401056526,non_adjusted
Cameron Tringale,-1.60565540140402,-26.980659945893166,37.35094355488772,0.15,1.03,2.6100000000000003,6.87,401056526,non_adjusted
Ollie Schniederjans,-1.7653932942275448,-28.515687433496325,34.03051532521958,0.15,0.98,2.6599999999999997,6.63,401056526,non_adjusted
Cody Gribble,-2.424223672353324,-25.170599399081986,47.63042116984751,0.22,1.41,2.91,6.59,401056526,non_adjusted
Davis Love III,-2.314079882273859,-23.370932991798476,36.70769751176478,0.11,1,2.37,6.140000000000001,401056526,non_adjusted
Andrew Landry,-2.047221041319429,-26.45027054305529,44.330797979887144,0.13999999999999999,0.84,2.23,6.13,401056526,non_adjusted
Freddie Jacobson,-1.9890414408734676,-25.46434354450436,38.07051750322972,0.15,0.96,2.52,6.03,401056526,non_adjusted
Brian Harman,-2.7961676372265876,-24.73517268192873,44.00048385537848,0.09,0.67,1.69,4.81,401056526,non_adjusted
Seamus Power,-2.875092808421895,-25.5275183050195,35.27031258868094,0.1,0.7100000000000001,1.79,4.760000000000001,401056526,non_adjusted
Kyle Jones,-2.664469993345254,-23.22795543166994,34.68231551388556,0.04,0.44999999999999996,1.3599999999999999,4.06,401056526,non_adjusted
J.J. Henry,-3.1355008870238765,-22.832257036584295,35.61911620640421,0.01,0.4,1.21,3.5900000000000003,401056526,non_adjusted
D.A. Points,-3.8703880486996862,-24.26734708046419,34.17110847442172,0.08,0.47000000000000003,1.23,3.4299999999999997,401056526,non_adjusted
Brendan Steele,-3.7554781858376187,-23.796343027932483,40.958724032280514,0.03,0.37,1.13,3.1,401056526,non_adjusted
Jim Herman,-4.0429657604628755,-26.792178448730887,37.611004523208706,0.03,0.27999999999999997,0.84,2.64,401056526,non_adjusted
John Senden,-5.502228055682293,-23.682825850887586,22.72806391822073,0,0.06999999999999999,0.21,1.06,401056526,non_adjusted
Rod Pampling,-6.652291911458801,-27.51130230226789,28.12038659523957,0,0.06,0.15,0.58,401056526,non_adjusted
Luke Donald,-13.522642244874987,-34.896557907067105,13.710878918868165,0,0,0,0.02,401056526,non_adjusted
Smylie Kaufman,-22.984521422629577,-44.752544063137904,14.489296543008255,0,0,0,0.01,401056526,non_adjusted
K.J. Choi,-15.929388070376092,-39.431627008487695,3.983290166699427,0,0,0,0,401056526,non_adjusted
Morgan Hoffmann,-16.466518332797463,-39.18517239988923,4.357514252746622,0,0,0,0,401056526,non_adjusted
Dustin Johnson,13.71808037378688,-19.04022946673742,60.11680911370725,7.62,25.619999999999997,39.6,57.50999999999999,401056528,non_adjusted
Bryson DeChambeau,10.52058746943414,-21.070477148763615,60.718024543423695,4.8,17.91,28.84,45.660000000000004,401056528,non_adjusted
Cameron Champ,10.35927098593412,-18.75444729410236,56.20265990086962,5.25,18.29,29.34,44.35,401056528,non_adjusted
Tommy Fleetwood,8.926349781694872,-18.31292407646943,54.50412373775204,3.6999999999999997,13.719999999999999,23.73,39.34,401056528,non_adjusted
