player_name,avg_dk_pts_gained,min_dk_pts_gained,max_dk_pts_gained,win_dk,top5_dk,top10_dk,top20_dk,tournament_id,sim_type
Justin Thomas,18.337538897847416,-16.246940101876802,59.758123026881435,3.63,15.03,27,44.96,401056547,adjusted_with_course_fit
Rickie Fowler,18.06123396703554,-12.14983479372959,65.9651020379295,3.5700000000000003,14.78,25.94,43.09,401056547,adjusted_with_course_fit
Jon Rahm,17.330697235092497,-14.692420773690692,56.7483986363468,2.77,12.65,23.380000000000003,41.099999999999994,401056547,adjusted_with_course_fit
Bryson DeChambeau,17.02728143259955,-14.711044898428911,69.43899475994182,2.92,13.22,23.830000000000002,40.23,401056547,adjusted_with_course_fit
Jason Day,16.118894086374556,-13.778790935349116,61.18375182769765,2.07,10.639999999999999,20.43,36.91,401056547,adjusted_with_course_fit
Tony Finau,15.966392964199638,-12.29217534843038,57.98680920607063,2.46,11.04,20.630000000000003,36.55,401056547,adjusted_with_course_fit
Patrick Cantlay,16.16887239096672,-11.138559593408074,58.700537823997905,1.94,9.98,19.35,36.43,401056547,adjusted_with_course_fit
Xander Schauffele,15.823579248118905,-14.479628913402102,61.791337836441414,2.08,10.17,19.580000000000002,36.11,401056547,adjusted_with_course_fit
Hideki Matsuyama,15.196906117810553,-14.044857477233002,62.87613798034603,1.94,9.65,18.58,33.989999999999995,401056547,adjusted_with_course_fit
Gary Woodland,14.904808656177941,-16.882837858571808,56.43534988746413,1.78,9.25,18.11,32.769999999999996,401056547,adjusted_with_course_fit
Tommy Fleetwood,14.890317706868824,-14.577656539819653,52.44403006638329,1.66,8.89,17.25,32.58,401056547,adjusted_with_course_fit
Webb Simpson,15.070616059845724,-13.991204610849453,54.91773833950153,1.78,8.790000000000001,16.98,32.41,401056547,adjusted_with_course_fit
Matt Kuchar,14.945034308024054,-13.602505706711428,67.52146264263153,1.44,8.37,16.53,31.979999999999997,401056547,adjusted_with_course_fit
Phil Mickelson,12.96223280578011,-14.70410645133165,59.818305689932174,1.44,7.02,14.04,28.02,401056547,adjusted_with_course_fit
Paul Casey,12.903083704068276,-13.82983049935458,63.281491796898464,1.49,6.710000000000001,13.03,26.02,401056547,adjusted_with_course_fit
Marc Leishman,12.551878101028999,-13.314884286433536,59.220086374673116,1.1199999999999999,6.03,12.36,25.729999999999997,401056547,adjusted_with_course_fit
Aaron Wise,12.621783993714642,-14.917089663908058,60.4247513213986,1.11,6.09,12.58,25.380000000000003,401056547,adjusted_with_course_fit
Jason Kokrak,12.232932922082865,-16.19341031637715,57.659260220825416,1.16,6.239999999999999,13.01,25.21,401056547,adjusted_with_course_fit
Keegan Bradley,12.329629850496673,-14.85507404860924,54.43119810023603,1.16,6.09,12.889999999999999,25.11,401056547,adjusted_with_course_fit
Louis Oosthuizen,12.480607394406189,-13.30826179752049,54.101300086372845,1.03,5.87,12.33,24.93,401056547,adjusted_with_course_fit
Jordan Spieth,11.896572727793036,-16.518093924729335,57.31008658779248,0.9400000000000001,5.489999999999999,11.19,23.32,401056547,adjusted_with_course_fit
Matt Wallace,11.474167148414901,-15.44892442708381,58.91643465579414,1.03,5.680000000000001,11.12,22.45,401056547,adjusted_with_course_fit
Sergio Garcia,11.671571347715327,-13.988668729493206,55.556701584868435,0.91,5.3100000000000005,10.73,22.35,401056547,adjusted_with_course_fit
Tyrrell Hatton,11.418042407582872,-16.701313562183216,59.81214514523156,0.8999999999999999,4.8500000000000005,10.45,22.09,401056547,adjusted_with_course_fit
Mike Lorenzo-Vera,11.285910944007528,-17.044140954064286,60.0959343047177,0.8099999999999999,4.8,10.33,22.009999999999998,401056547,adjusted_with_course_fit
Shane Lowry,11.29108011695429,-16.22890259043416,60.70350053986751,0.9299999999999999,5.029999999999999,10.72,21.990000000000002,401056547,adjusted_with_course_fit
Lee Westwood,11.018124112584117,-15.08866890355473,52.91134087036818,0.8099999999999999,4.67,10.27,21.62,401056547,adjusted_with_course_fit
Lucas Glover,10.968614896410227,-15.479488186369625,54.59383266182287,0.95,4.71,10.12,20.990000000000002,401056547,adjusted_with_course_fit
Adam Hadwin,10.887002479403384,-15.458794090917754,59.04474630750575,0.9299999999999999,4.77,9.91,20.91,401056547,adjusted_with_course_fit
Andrew Putnam,11.180857541967137,-15.751588785114562,58.840511787145346,0.6,4.07,9.16,20.5,401056547,adjusted_with_course_fit
Matthew Fitzpatrick,10.590225194047024,-16.156806760479377,57.67302091578904,0.8699999999999999,4.569999999999999,9.43,20.22,401056547,adjusted_with_course_fit
Thomas Pieters,10.27071873857706,-19.24643079926556,62.95931215523903,0.8500000000000001,4.73,9.4,20.22,401056547,adjusted_with_course_fit
Emiliano Grillo,9.976788023200092,-16.23886098139588,53.19131516636001,0.8,4.53,9.2,19.139999999999997,401056547,adjusted_with_course_fit
Brandt Snedeker,9.99227313452158,-15.569570357678739,53.136525461802634,0.66,3.92,8.459999999999999,18.709999999999997,401056547,adjusted_with_course_fit
Eddie Pepperell,10.064635236832359,-14.188756373321441,62.66913909392086,0.76,4.25,8.77,18.529999999999998,401056547,adjusted_with_course_fit
Chez Reavie,10.013942340312843,-14.403879162103426,55.657064885285976,0.69,3.6900000000000004,8.129999999999999,18.18,401056547,adjusted_with_course_fit
Cameron Smith,9.873694289965371,-13.604701722424775,47.999450431714806,0.42,3.1199999999999997,7.51,18.02,401056547,adjusted_with_course_fit
Sungjae Im,9.571113873011155,-14.588589271000702,52.947661352144436,0.8099999999999999,3.84,8.28,17.84,401056547,adjusted_with_course_fit
Ian Poulter,9.985973527579429,-14.4036913287557,53.00670153010972,0.44,3.1199999999999997,7.8,17.549999999999997,401056547,adjusted_with_course_fit
