tournament_round_id,hole,umap_1,umap_2,par,yards,adj_field_dk_avg,.cluster,hole_category
2017098_2_1,4,1.8534448146820068,-5.196667194366455,4,429,0.5978863262398324,2,hard
2017098_2_1,5,2.0647528171539307,2.653184652328491,4,339,1.0228863262398324,1,medium
2017098_2_1,6,-8.86490249633789,6.780838489532471,3,177,0.9853863262398324,1,medium
2017098_2_1,7,4.641458511352539,-2.47023606300354,4,409,0.7437196595731658,1,medium
2017098_2_1,8,-11.677509307861328,0.09393742680549622,3,190,0.5978863262398324,2,hard
2017098_2_1,9,-1.7516862154006958,-5.525209903717041,4,424,0.45205299290649903,2,hard
2017098_2_1,10,-0.7205010056495667,-10.663208961486816,4,477,0.4395529929064991,2,hard
2017098_2_1,11,3.181905746459961,-3.657482624053955,4,414,0.6812196595731658,2,hard
2017098_2_1,12,3.992380142211914,10.617064476013184,5,553,2.077052992906499,3,easy
2017098_2_1,13,-9.016820907592773,-4.091997146606445,3,212,0.38955299290649914,2,hard
2017098_2_1,14,8.855249404907227,-6.446219444274902,4,451,0.7437196595731658,1,medium
2017098_2_1,15,-10.112698554992676,5.259376049041748,3,179,0.8437196595731657,1,medium
2017098_2_1,16,-3.9054577350616455,-7.162784576416016,4,433,0.28955299290649905,2,hard
2017098_2_1,17,4.383297920227051,14.969947814941406,5,564,1.1812196595731657,1,medium
2017098_2_1,18,10.218114852905273,-0.34377697110176086,4,431,0.9062196595731657,1,medium
2017098_1_2,1,2.8930702209472656,-4.4199652671813965,4,422,0.6575798929069243,2,hard
2017098_1_2,2,-1.3688336610794067,14.727779388427734,5,580,1.4396311749582063,3,easy
2017098_1_2,3,4.923080921173096,-3.1457831859588623,4,418,0.7387764741035057,1,medium
2017098_1_2,4,-2.2542343139648437,12.365880012512207,5,597,1.4225371578641892,3,easy
2017098_1_2,5,-14.393531799316406,4.291303634643555,3,206,0.7644174997445312,1,medium
2017098_1_2,6,5.593997955322266,-0.2391577810049057,4,400,0.8370670723941038,1,medium
2017098_1_2,7,0.5329541563987732,-13.38283634185791,4,444,0.36698160230863375,2,hard
2017098_1_2,8,-10.22713851928711,-2.739572048187256,3,208,0.48663972196675337,2,hard
2017098_1_2,9,4.287351131439209,1.6783866882324219,4,377,0.9097166450436764,1,medium
2017098_1_2,10,-2.289130926132202,-11.275812149047852,4,487,0.38834912367615515,2,hard
2017098_1_2,11,4.821883678436279,-8.956753730773926,4,467,0.6148448501718817,2,hard
2017098_1_2,12,3.065763473510742,14.228767395019531,5,593,1.3028790382060695,1,medium
2017098_1_2,13,4.704673767089844,-11.631767272949219,4,442,0.5507422860693176,2,hard
2017098_1_2,14,1.0347280502319336,11.556265830993652,5,547,1.7986055339325653,3,easy
2017098_1_2,15,-11.298808097839355,1.4066308736801147,3,188,0.6319388672658988,2,hard
2017098_1_2,16,-2.1425907611846924,-10.809966087341309,4,489,0.4097166450436765,2,hard
2017098_1_2,17,-7.472567558288574,-4.20950984954834,3,223,0.27296450829153973,2,hard
2017098_1_2,18,-3.4473297595977783,-11.013731002807617,4,507,0.34134057666760814,2,hard
2018004_1_1,1,7.2536540031433105,-9.852517127990723,4,445,0.6307619794858075,2,hard
2018004_1_1,2,-0.07865354418754578,12.254010200500488,5,557,1.7146329472277428,3,easy
2018004_1_1,3,-7.4913835525512695,-4.284635543823242,3,220,0.2565684310987106,2,hard
2018004_1_1,4,-2.1626079082489014,-10.095321655273437,4,509,0.4372135923890332,2,hard
2018004_1_1,5,-3.0166449546813965,-10.800052642822266,4,503,0.375923269808388,2,hard
2018004_1_1,6,-10.811829566955566,-0.3664390444755554,3,199,0.5856006891632268,2,hard
2018004_1_1,7,0.2573492228984833,-9.521154403686523,4,486,0.48882649561483965,2,hard
2018004_1_1,8,0.38847213983535767,13.051796913146973,5,522,1.6856006891632267,3,easy
2018004_1_1,9,1.154942274093628,-2.757908582687378,4,401,0.6339877859374203,2,hard
2018004_1_1,9,1.154942274093628,-2.757908582687378,4,401,0.6339877859374203,2,hard
2018004_1_1,9,1.154942274093628,-2.757908582687378,5,401,0.6339877859374203,2,hard
2018004_1_1,9,1.154942274093628,-2.757908582687378,5,401,0.6339877859374203,2,hard
2018004_1_1,10,1.100706934928894,-9.637064933776855,4,477,0.5017297214212914,2,hard
2018004_1_1,11,5.831602096557617,-4.524407386779785,4,433,0.7307619794858075,1,medium
2018004_1_1,12,-1.3485206365585327,-4.069496154785156,4,407,0.4920523020664525,2,hard
2018004_1_1,13,4.18394136428833,13.918715476989746,5,601,1.1823748827116138,1,medium
2018004_1_1,14,-8.266867637634277,7.4566826820373535,3,173,1.1049555278729042,1,medium
2018004_1_1,15,0.42859676480293274,12.209959983825684,5,547,1.7501168181954847,3,easy
2018004_1_1,16,6.374606132507324,-11.127646446228027,4,441,0.5920523020664525,2,hard
2018004_1_1,17,-8.99348258972168,-2.8026232719421387,3,222,0.443665205292259,2,hard
2018004_1_1,18,2.4932570457458496,-10.931694984436035,4,451,0.5178587536793559,2,hard
2018004_1_2,1,1.1516077518463135,-10.839892387390137,4,445,0.4762627839506177,2,hard
2018004_1_2,2,1.2379734516143799,11.555286407470703,5,557,1.836652394340228,3,easy
2018004_1_2,3,-9.1359405517578125,-2.8363380432128906,3,220,0.45028875797659174,2,hard
2018004_1_2,4,3.3635690212249756,-7.647877216339111,4,509,0.5996394073272411,2,hard
2018004_1_2,5,-4.082092761993408,-11.207769393920898,4,503,0.30418486187269556,2,hard
2018004_1_2,6,-9.271201133728027,-5.045966625213623,3,199,0.3561329138207475,2,hard
2018004_1_2,7,1.9394359588623047,-8.879858016967773,4,486,0.5184705761584099,2,hard
2018004_1_2,8,0.8979872465133667,10.566824913024902,5,522,1.7717173294051631,3,easy
2018004_1_2,9,4.3866658210754395,-1.661779522895813,4,401,0.7522368099246437,1,medium
2018004_1_2,10,1.5019019842147827,-9.42493724822998,4,477,0.5152238229116567,2,hard
2018004_1_2,11,4.930634498596191,-12.320523262023926,4,433,0.5541848618726956,2,hard
2018004_1_2,12,3.855240821838379,-2.7069389820098877,4,407,0.7100290177168515,1,medium
2018004_1_2,13,4.480607509613037,13.8936128616333,5,601,1.1483407060285395,1,medium
2018004_1_2,14,-12.694823265075684,0.08857445418834686,3,173,0.6028861605739944,2,hard
2018004_1_2,15,4.817498683929443,10.359258651733398,5,547,2.1710679787558127,3,easy
2018004_1_2,16,9.592453956604004,-7.969898223876953,4,441,0.7100290177168515,1,medium
2018004_1_2,17,-9.264613151550293,-1.675776481628418,3,222,0.5217173294051631,2,hard
2018004_1_2,18,5.3700480461120605,-10.394593238830566,4,451,0.5931459008337345,2,hard
2018004_1_3,1,8.231863975524902,-9.188009262084961,4,445,0.6646588696204845,2,hard
2018004_1_3,2,3.3262879848480225,10.76901626586914,5,557,2.024658869620484,3,easy
2018004_1_3,3,-9.021921157836914,-2.870999574661255,3,220,0.43799220295381774,2,hard
2018004_1_3,4,2.070869207382202,-8.02369499206543,4,509,0.5246588696204845,2,hard
2018004_1_3,5,-2.018197774887085,-10.017695426940918,4,503,0.4646588696204844,2,hard
2018004_1_3,6,-11.784810066223145,6.872435092926025,3,199,0.8846588696204845,1,medium
2018004_1_3,7,-2.8833670616149902,-11.730094909667969,4,486,0.35799220295381773,2,hard
2018004_1_3,8,4.4258131980896,8.265616416931152,5,522,2.551325536287151,3,easy
2018004_1_3,9,2.9763832092285156,-2.2101337909698486,4,401,0.6979922029538178,2,hard
2018004_1_3,10,10.352924346923828,-2.784015417098999,4,477,0.9113255362871511,1,medium
2018004_1_3,11,8.27985668182373,-1.4949829578399658,4,433,0.8579922029538178,1,medium
2018004_1_3,12,0.8598750233650208,5.563419342041016,4,407,1.4646588696204845,3,easy
2018004_1_3,13,3.6604232788085937,13.992762565612793,5,601,1.2179922029538177,1,medium
2018004_1_3,14,-10.337584495544434,4.823474407196045,3,173,0.8246588696204845,1,medium
2018004_1_3,15,-0.03623701632022858,12.857925415039063,5,547,1.671325536287151,3,easy
2018004_1_3,16,9.024637222290039,-2.2358744144439697,4,441,0.8446588696204844,1,medium
2018004_1_3,17,-13.861656188964844,1.910278081893921,3,222,0.6379922029538178,2,hard
2018004_1_3,18,8.9187593460083,-5.211402893066406,4,451,0.7913255362871511,1,medium
2018004_1_4,1,4.172303676605225,-11.512381553649902,4,445,0.5329897338180136,2,hard
2018004_1_4,2,2.292083263397217,10.87796688079834,5,557,1.926323067151347,3,easy
2018004_1_4,3,-14.568401336669922,3.0353758335113525,3,220,0.7063230671513469,1,medium
2018004_1_4,4,-2.0850157737731934,-10.040314674377441,4,509,0.45965640048468026,2,hard
2018004_1_4,5,-4.4869561195373535,-11.321051597595215,4,503,0.2796564004846802,2,hard
2018004_1_4,6,-11.206706047058105,-2.0469534397125244,3,199,0.5396564004846802,2,hard
2018004_1_4,7,2.5810866355895996,-8.60522747039795,4,486,0.5529897338180135,2,hard
2018004_1_4,8,4.453091144561768,9.372210502624512,5,522,2.226323067151347,3,easy
2018004_1_4,9,0.20138435065746307,-3.052001476287842,4,401,0.5863230671513469,2,hard
2018004_1_4,10,6.848278999328613,-6.977701187133789,4,477,0.7196564004846803,1,medium
2018004_1_4,11,9.999134063720703,2.3945353031158447,4,433,1.0129897338180136,1,medium
2018004_1_4,12,0.2858307957649231,-3.3348209857940674,4,407,0.5929897338180136,2,hard
2018004_1_4,13,3.707629919052124,10.939952850341797,5,601,2.1129897338180137,3,easy
2018004_1_4,14,-9.144306182861328,6.261752605438232,3,173,0.9396564004846802,1,medium
2018004_1_4,15,4.015669822692871,7.772069454193115,5,547,2.7996564004846802,3,easy
2018004_1_4,16,11.094375610351563,-0.33721309900283813,4,441,0.9329897338180135,1,medium
2018004_1_4,17,-8.501852035522461,-3.5931403636932373,3,222,0.3729897338180136,2,hard
2018004_1_4,18,8.965057373046875,-5.296936988830566,4,451,0.7863230671513469,1,medium
2018004_1_1,9,7.507359504699707,6.746465682983398,4,401,0.6339877859374203,2,hard
2018004_1_1,9,7.507359504699707,6.746465682983398,4,401,0.6339877859374203,2,hard
2018004_1_1,9,7.507359504699707,6.746465682983398,5,401,0.6339877859374203,2,hard
2018004_1_1,9,7.507359504699707,6.746465682983398,5,401,0.6339877859374203,2,hard
2018008_1_1,1,5.811464309692383,-1.5510931015014648,4,409,0.7959207097619614,1,medium
2018008_1_1,2,-2.1733293533325195,12.368552207946777,5,599,1.4149683288095805,3,easy
2018008_1_1,3,5.369945049285889,-4.089584827423096,4,429,0.7324286462698979,1,medium
2018008_1_1,4,-12.44053840637207,0.5643407702445984,3,174,0.6252857891270408,2,hard
2018008_1_1,5,1.0982346534729004,-10.10014820098877,4,468,0.4943334081746598,2,hard
2018008_1_1,6,8.29071044921875,-5.795128345489502,4,468,0.7681429319841836,1,medium
2018008_1_1,7,-10.763668060302734,-0.020633390173316002,3,199,0.597508011349263,2,hard
2018008_1_1,8,-2.195119619369507,12.354442596435547,5,597,1.4387778526191042,3,easy
2018008_1_1,9,8.209031105041504,-7.500382423400879,4,456,0.7086191224603741,1,medium
2018008_1_1,10,4.467842102050781,14.549690246582031,5,582,1.1570318208730725,1,medium
2018008_1_1,11,5.240808963775635,-2.7009565830230713,4,417,0.7562381700794217,1,medium
2018008_1_1,12,-10.851176261901855,5.943167686462402,3,186,0.8554445192857709,1,medium
2018008_1_1,13,8.5013580322265625,3.936028242111206,4,413,1.0538572176984693,1,medium
2018008_1_1,14,4.739944934844971,-7.53430700302124,4,490,0.6610000748413265,2,hard
2018008_1_1,15,-8.275309562683105,7.501083850860596,3,177,1.1054445192857711,1,medium
2018008_1_1,16,6.647355079650879,-7.30100679397583,4,475,0.7046508684921201,1,medium
2018008_1_1,17,9.993208885192871,-3.793926954269409,4,482,0.8157619796032313,1,medium
2018008_1_1,18,1.3091797828674316,11.428020477294922,5,562,1.835603249444501,3,easy
2018008_1_2,1,8.218416213989258,4.022047519683838,4,409,1.0632720354713983,1,medium
2018008_1_2,2,2.869474411010742,13.964077949523926,5,599,1.3512720354713983,1,medium
2018008_1_2,3,6.721036911010742,4.267365455627441,4,429,1.1872720354713984,1,medium
2018008_1_2,4,-7.986961364746094,7.701366424560547,3,174,1.1672720354713984,1,medium
2018008_1_2,5,10.015385627746582,-3.213865280151367,4,468,0.8752720354713984,1,medium
2018008_1_2,6,3.92340350151062,-9.186166763305664,4,468,0.5792720354713984,2,hard
2018008_1_2,7,-10.723079681396484,0.45357275009155273,3,199,0.6112720354713984,2,hard
2018008_1_2,8,-2.224393129348755,12.403056144714355,5,597,1.5032720354713982,3,easy
2018008_1_2,9,7.304020881652832,-8.771212577819824,4,456,0.6512720354713983,2,hard
2018008_1_2,10,4.447543621063232,14.558101654052734,5,582,1.1632720354713983,1,medium
2018008_1_2,11,10.812506675720215,1.4395737648010254,4,417,0.9272720354713984,1,medium
2018008_1_2,12,-10.388243675231934,6.289855003356934,3,186,0.8952720354713983,1,medium
2018008_1_2,12,-10.388243675231934,6.289855003356934,3,186,0.8952720354713983,1,medium
2018008_1_2,12,-10.388243675231934,6.289855003356934,5,186,0.8952720354713983,1,medium
2018008_1_2,12,-10.388243675231934,6.289855003356934,5,186,0.8952720354713983,1,medium
2018008_1_2,13,10.78957748413086,1.6765413284301758,4,413,0.9352720354713984,1,medium
2018008_1_2,14,3.9647786617279053,-8.006267547607422,4,490,0.6112720354713984,2,hard
2018008_1_2,15,-8.071991920471191,7.648831844329834,3,177,1.1352720354713983,1,medium
2018008_1_2,16,5.76777982711792,-7.792707443237305,4,475,0.6712720354713984,2,hard
2018008_1_2,17,10.30593204498291,-3.053736925125122,4,482,0.8952720354713983,1,medium
2018008_1_2,18,1.6553367376327515,11.1054105758667,5,562,1.8792720354713983,3,easy
2018008_1_3,1,4.123719215393066,4.949695110321045,4,409,1.2065675361131396,1,medium
2018008_1_3,2,-2.1829864978790283,12.363646507263184,5,599,1.4107928882258156,1,medium
2018008_1_3,3,10.054586410522461,2.624840259552002,4,429,1.0023421840004634,1,medium
2018008_1_3,4,-9.1948881149292,6.182475566864014,3,174,0.9248773952680691,1,medium
2018008_1_3,5,10.375933647155762,-1.8115350008010864,4,468,0.9530464093525761,1,medium
2018008_1_3,6,8.650092124938965,1.4997810125350952,4,468,1.1502295079441254,1,medium
2018008_1_3,7,-11.17052936553955,7.216377258300781,3,199,0.9107928882258156,1,medium
