Player,SlatePlayerID,Ownership,Sample,%:,Cut,Top 20,Top 5,Win,DK:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,FD:,SD,Salary,Finish Pts,Scoring Pts,Points,Value,Yahoo:,Salary,Finish Pts,Scoring Pts,Points,Value
Gary Woodland,0,4.26,150,,0.5857,0.185025,0.04575,0.007475,,28.8730601,7600,2.6164,51.79505,54.41,5.81,,31.22192046,9400,1.8636,50.49102,52.35,4.53,,,1.3642,45.67668,47.04,-342.23
Byeong Hun An,0,2.77,150,,0.59105,0.18045,0.04495,0.008025,,28.8647919,7500,2.4769,51.368,53.84,5.6,,31.19583892,9300,1.7499,49.82656,51.58,4.28,,,1.2912,44.88443,46.18,-284.1
Patton Kizzire,0,4.14,150,,0.56865,0.1723,0.039175,0.00665,,28.72901226,7200,2.4711,51.3175,53.79,7.81,,31.03395471,8700,1.7596,49.81239,51.57,5.69,,,1.2563,45.0052,46.26,-107.32
Russell Knox,0,3.68,150,,0.60075,0.18825,0.046425,0.0087,,28.77313982,7000,2.5545,51.21585,53.77,9.31,,31.08851128,8700,1.7939,49.81858,51.61,6.68,,,1.3247,45.14465,46.47,10.67
Bo Hoag,0,2.9,150,,0.580675,0.17405,0.039125,0.00655,,28.39468742,6400,2.5497,50.9517,53.5,13.44,,30.78774352,7800,1.8106,49.56878,51.38,9.32,,,1.3219,44.92555,46.25,363.89
Matthew NeSmith,0,8.49,150,,0.5984,0.182975,0.0424,0.007525,,28.48647473,7100,2.4772,51.01385,53.49,8.07,,30.82094084,8800,1.7523,49.57929,51.33,5.94,,,1.2792,44.8231,46.1,-48.56
Scott Stallings,0,2.31,150,,0.562925,0.161025,0.035525,0.005325,,28.35720344,6600,2.4598,50.5662,53.03,11.11,,30.71250863,8100,1.7439,49.12963,50.87,7.88,,,1.2919,44.50199,45.79,245.67
Danny Lee,0,0.61,150,,0.5593,0.160575,0.037,0.005925,,28.35734369,6500,2.3499,50.56265,52.91,11.67,,30.72140232,7600,1.6713,48.96037,50.63,8.13,,,1.201,44.19477,45.4,304.22
Cameron Percy,0,2.9,150,,0.56095,0.1637,0.03735,0.006575,,28.21421457,6600,2.4013,50.4903,52.89,10.87,,30.51877605,8200,1.6799,48.99842,50.68,7.7,,,1.2333,44.34435,45.58,245.48
Matt Wallace,0,3.23,150,,0.588275,0.175175,0.039475,0.00685,,28.43831523,7700,2.3754,50.5005,52.88,2.44,,30.74209314,9000,1.6751,48.93549,50.61,2.4,,,1.2148,44.20462,45.42,-402.59
